currency,horizon,model,config,news,prompt,rmse,mae,mape,da,n_windows
USDTWD,5,llama3-8b,news_only,True,tsfl_zero,0.3390513390655781,0.2636785856437672,0.8369796772724277,32.432432432432435,10
USDTWD,5,llama3-8b,prompt_only,False,tsfl_few,0.25533900426469724,0.19685832143020526,0.6246070745881458,40.54054054054054,10
USDTWD,5,llama3-8b,full_model,True,tsfl_few,0.2869573291510513,0.2140956793861389,0.6798007455978926,56.75675675675676,10
USDTWD,10,llama3-8b,baseline_llm,False,tsfl_zero,0.3233570463187061,0.2641405954494483,0.8373982918508944,50.0,10
USDTWD,10,llama3-8b,news_only,True,tsfl_zero,0.3670576953025572,0.2917013918590554,0.9247497398799607,60.29411764705882,10
USDTWD,10,llama3-8b,prompt_only,False,tsfl_few,0.2469709136539713,0.1898295180473344,0.6018974997834984,51.470588235294116,10
USDTWD,10,llama3-8b,full_model,True,tsfl_few,0.25250190261719374,0.18696946560859753,0.5930164046561016,45.588235294117645,10
USDAUD,1,llama3-8b,baseline_llm,False,tsfl_zero,0.029586293717989553,0.02286342144131659,1.5818977339966949,77.77777777777779,10
USDAUD,1,llama3-8b,news_only,True,tsfl_zero,0.03753735072881458,0.03426805256128314,2.37918184942436,44.44444444444444,10
USDAUD,1,llama3-8b,prompt_only,False,tsfl_few,0.03873942777747661,0.028550223764181103,1.9998879374736174,55.55555555555556,10
USDAUD,1,llama3-8b,full_model,True,tsfl_few,0.02944859104725509,0.022815891344547267,1.6045083498843686,66.66666666666666,10
USDAUD,5,llama3-8b,baseline_llm,False,tsfl_zero,0.034644012090394354,0.027819783758163418,1.9271501481391375,51.35135135135135,10
USDAUD,5,llama3-8b,news_only,True,tsfl_zero,0.039277518810699304,0.032450258785247744,2.248098129447306,35.13513513513514,10
USDAUD,5,llama3-8b,prompt_only,False,tsfl_few,0.03886041628268394,0.028764038547039007,2.001689467935318,67.56756756756756,10
USDAUD,5,llama3-8b,full_model,True,tsfl_few,0.036152824954827724,0.02815827744960781,1.9571280549199532,59.45945945945946,10
USDAUD,10,llama3-8b,baseline_llm,False,tsfl_zero,0.03929082257102944,0.03211516418373583,2.220924580196426,48.529411764705884,10
USDAUD,10,llama3-8b,news_only,True,tsfl_zero,0.042728559956239975,0.03418760803341862,2.366738653114633,44.11764705882353,10
USDAUD,10,llama3-8b,prompt_only,False,tsfl_few,0.04302285741947315,0.03136121861517431,2.1879686350954466,45.588235294117645,10
USDAUD,10,llama3-8b,full_model,True,tsfl_few,0.04495803675565052,0.03461282071256638,2.406275749201671,51.470588235294116,10
USDIDR,1,qwen2.5-7b,baseline_llm,False,tsfl_zero,87.85783868296129,63.09158656249965,0.3747945477670758,77.77777777777779,10
USDIDR,1,qwen2.5-7b,news_only,True,tsfl_zero,63.60232891624383,49.38824130859357,0.2930259173695425,88.88888888888889,10
USDIDR,1,qwen2.5-7b,prompt_only,False,tsfl_few,64.0962727575056,47.23059908203068,0.2804184874508688,88.88888888888889,10
USDIDR,1,qwen2.5-7b,full_model,True,tsfl_few,59.998950370212306,48.99925451171875,0.2911433493520449,77.77777777777779,10
USDIDR,5,qwen2.5-7b,baseline_llm,False,tsfl_zero,95.63247004569833,78.88876857031246,0.46884384806516144,43.24324324324324,10
USDIDR,5,qwen2.5-7b,news_only,True,tsfl_zero,92.7482448390174,71.70026064843755,0.4264687868909111,48.64864864864865,10
USDIDR,5,qwen2.5-7b,prompt_only,False,tsfl_few,113.04845540676972,91.47844914453111,0.5435146344806381,48.64864864864865,10
USDIDR,5,qwen2.5-7b,full_model,True,tsfl_few,121.1887003047332,102.06596493749988,0.6065713528864067,35.13513513513514,10
USDIDR,10,qwen2.5-7b,baseline_llm,False,tsfl_zero,115.33134780163346,93.93935980664078,0.5584466204952094,46.26865671641791,10
USDIDR,10,qwen2.5-7b,news_only,True,tsfl_zero,139.72471508891996,111.37233845703136,0.6618926145644769,59.70149253731343,10
USDIDR,10,qwen2.5-7b,prompt_only,False,tsfl_few,136.53632177054266,119.78608174609384,0.7116714950658866,61.19402985074627,10
USDIDR,10,qwen2.5-7b,full_model,True,tsfl_few,123.07060990380022,110.4108998750001,0.6562677031853078,59.70149253731343,10
USDEUR,1,qwen2.5-7b,baseline_llm,False,tsfl_zero,0.009118005541596667,0.006592895925045017,0.7733735635100093,66.66666666666666,10
USDEUR,1,qwen2.5-7b,news_only,True,tsfl_zero,0.01900215074919302,0.016095418208241452,1.8964346519412683,55.55555555555556,10
USDEUR,1,qwen2.5-7b,prompt_only,False,tsfl_few,0.007953959148193473,0.0034287472444772594,0.4084300498556141,55.55555555555556,10
USDEUR,1,qwen2.5-7b,full_model,True,tsfl_few,0.008516477219310906,0.004764950057864192,0.5643530468349415,55.55555555555556,10
USDEUR,5,qwen2.5-7b,baseline_llm,False,tsfl_zero,0.010009738273055303,0.006879553818702695,0.8095340199175269,62.16216216216216,10
USDEUR,5,qwen2.5-7b,news_only,True,tsfl_zero,0.012368620071074454,0.00985350203800201,1.160343159928428,40.54054054054054,10
USDEUR,5,qwen2.5-7b,prompt_only,False,tsfl_few,0.009906751213495026,0.0074228876706361755,0.8718809514197696,45.94594594594595,10
USDEUR,5,qwen2.5-7b,full_model,True,tsfl_few,0.012254291124907264,0.009385408082842826,1.1029128677419902,51.35135135135135,10
USDEUR,10,qwen2.5-7b,baseline_llm,False,tsfl_zero,0.010908770721036236,0.009728220010757446,1.142592117154584,58.82352941176471,10
USDEUR,10,qwen2.5-7b,news_only,True,tsfl_zero,0.012131000275650202,0.010124808404982097,1.1915080168980894,50.0,10
USDEUR,10,qwen2.5-7b,prompt_only,False,tsfl_few,0.012984721477067947,0.010013929793477056,1.1704444154562537,50.0,10
USDEUR,10,qwen2.5-7b,full_model,True,tsfl_few,0.011101267544489857,0.009202434776186949,1.0823135993877797,44.11764705882353,10
USDSGD,1,qwen2.5-7b,baseline_llm,False,tsfl_zero,0.007600205467346675,0.005722612516880043,0.4500634043924901,55.55555555555556,10
USDSGD,1,qwen2.5-7b,news_only,True,tsfl_zero,0.008484103240327688,0.006347132819891033,0.4997847651851494,88.88888888888889,10
USDSGD,1,qwen2.5-7b,prompt_only,False,tsfl_few,0.007225210860469472,0.003458357132673262,0.27286038111035876,55.55555555555556,10
USDSGD,1,qwen2.5-7b,full_model,True,tsfl_few,0.008943079168586578,0.005429124777317074,0.4281539704804567,44.44444444444444,10
USDSGD,5,qwen2.5-7b,baseline_llm,False,tsfl_zero,0.00974885435475074,0.007800974969148649,0.6122398507866473,43.24324324324324,10
USDSGD,5,qwen2.5-7b,news_only,True,tsfl_zero,0.013443294391592754,0.011286322476863946,0.8856754580183762,43.24324324324324,10
USDSGD,5,qwen2.5-7b,prompt_only,False,tsfl_few,0.008865730700727319,0.006563153190851221,0.5150250316327165,40.54054054054054,10
USDSGD,5,qwen2.5-7b,full_model,True,tsfl_few,0.009804203915468554,0.007719066501140634,0.60594426937086,51.35135135135135,10
USDSGD,10,qwen2.5-7b,baseline_llm,False,tsfl_zero,0.01345933424965364,0.010458820668697437,0.821162475366829,41.17647058823529,10
USDSGD,10,qwen2.5-7b,news_only,True,tsfl_zero,0.01508318101396188,0.012866166805148222,1.0092372469194761,48.529411764705884,10
USDSGD,10,qwen2.5-7b,prompt_only,False,tsfl_few,0.011163568068380883,0.008712394520640416,0.6837727948984484,41.17647058823529,10
USDSGD,10,qwen2.5-7b,full_model,True,tsfl_few,0.01199651889196613,0.009272238742470818,0.7288476283609987,47.05882352941176,10
