type,model,config,currency,horizon,window,window_rmse,window_da
llm,llama3-8b,baseline_llm,USDIDR,5,16,115.07592791629273,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,5,17,98.04348044860214,80.0
llm,llama3-8b,baseline_llm,USDIDR,5,18,125.34718948260466,33.33333333333333
llm,llama3-8b,baseline_llm,USDIDR,5,19,57.35282834241276,75.0
llm,llama3-8b,baseline_llm,USDIDR,5,20,65.25548828960629,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,5,21,117.95939505495654,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,5,22,104.23793706161968,0.0
llm,llama3-8b,baseline_llm,USDIDR,5,23,68.76235857724313,33.33333333333333
llm,llama3-8b,baseline_llm,USDIDR,5,24,205.5230148911488,20.0
llm,llama3-8b,baseline_llm,USDIDR,5,25,88.01103607443018,33.33333333333333
llm,llama3-8b,baseline_llm,USDIDR,5,26,183.591901923376,75.0
llm,llama3-8b,baseline_llm,USDIDR,5,27,171.42923361443414,0.0
llm,llama3-8b,baseline_llm,USDIDR,5,28,132.00161042980102,33.33333333333333
llm,llama3-8b,baseline_llm,USDIDR,5,29,144.2031481178486,25.0
llm,llama3-8b,news_only,USDIDR,5,0,337.5697183746863,66.66666666666666
llm,llama3-8b,news_only,USDIDR,5,1,312.88920208793604,50.0
llm,llama3-8b,news_only,USDIDR,5,2,458.2816473257165,33.33333333333333
llm,llama3-8b,news_only,USDIDR,5,3,641.0827756087576,40.0
llm,llama3-8b,news_only,USDIDR,5,4,473.21497991286395,66.66666666666666
llm,llama3-8b,news_only,USDIDR,5,5,160.22200343974004,100.0
llm,llama3-8b,news_only,USDIDR,5,6,228.63999023766905,33.33333333333333
llm,llama3-8b,news_only,USDIDR,5,7,159.4735898311506,33.33333333333333
llm,llama3-8b,news_only,USDIDR,5,8,207.06103319012692,50.0
llm,llama3-8b,news_only,USDIDR,5,9,188.44689644129048,100.0
llm,llama3-8b,news_only,USDIDR,5,10,263.15353260676073,60.0
llm,llama3-8b,news_only,USDIDR,5,11,311.03252595129584,33.33333333333333
llm,llama3-8b,news_only,USDIDR,5,12,107.92945327870761,75.0
llm,llama3-8b,news_only,USDIDR,5,13,234.05625888593536,100.0
llm,llama3-8b,news_only,USDIDR,5,14,180.35232403752678,100.0
llm,llama3-8b,news_only,USDIDR,5,15,407.2318527393523,50.0
llm,llama3-8b,news_only,USDIDR,5,16,330.2580670185841,66.66666666666666
llm,llama3-8b,news_only,USDIDR,5,17,288.20117293129584,80.0
llm,llama3-8b,news_only,USDIDR,5,18,380.6609976329174,66.66666666666666
llm,llama3-8b,news_only,USDIDR,5,19,70.28834264655697,75.0
llm,llama3-8b,news_only,USDIDR,5,20,84.61029690753624,33.33333333333333
llm,llama3-8b,news_only,USDIDR,5,21,102.2670219155791,66.66666666666666
llm,llama3-8b,news_only,USDIDR,5,22,98.18656818814672,0.0
llm,llama3-8b,news_only,USDIDR,5,23,155.55245493990438,33.33333333333333
llm,llama3-8b,news_only,USDIDR,5,24,142.5112656977815,60.0
llm,llama3-8b,news_only,USDIDR,5,25,153.29440319731285,33.33333333333333
llm,llama3-8b,news_only,USDIDR,5,26,148.8340457760018,75.0
llm,llama3-8b,news_only,USDIDR,5,27,148.65660722970776,0.0
llm,llama3-8b,news_only,USDIDR,5,28,90.74286670635809,33.33333333333333
llm,llama3-8b,news_only,USDIDR,5,29,172.38696269740737,25.0
llm,llama3-8b,prompt_only,USDIDR,5,0,230.66183610994014,66.66666666666666
llm,llama3-8b,prompt_only,USDIDR,5,1,355.71982769383,50.0
llm,llama3-8b,prompt_only,USDIDR,5,2,395.1268525841357,33.33333333333333
llm,llama3-8b,prompt_only,USDIDR,5,3,198.05155801981337,40.0
llm,llama3-8b,prompt_only,USDIDR,5,4,348.11655642086043,33.33333333333333
llm,llama3-8b,prompt_only,USDIDR,5,5,107.04367015472933,50.0
llm,llama3-8b,prompt_only,USDIDR,5,6,180.75083737870145,33.33333333333333
llm,llama3-8b,prompt_only,USDIDR,5,7,208.4493862978136,33.33333333333333
llm,llama3-8b,prompt_only,USDIDR,5,8,101.72095012697248,75.0
llm,llama3-8b,prompt_only,USDIDR,5,9,189.3442190549975,33.33333333333333
llm,llama3-8b,prompt_only,USDIDR,5,10,169.92859453151266,60.0
llm,llama3-8b,prompt_only,USDIDR,5,11,136.19546764405516,0.0
llm,llama3-8b,prompt_only,USDIDR,5,12,57.66773495346659,75.0
llm,llama3-8b,prompt_only,USDIDR,5,13,151.27227803537986,66.66666666666666
llm,llama3-8b,prompt_only,USDIDR,5,14,130.0906380718418,0.0
llm,llama3-8b,prompt_only,USDIDR,5,15,339.221250739991,75.0
llm,llama3-8b,prompt_only,USDIDR,5,16,115.07592791629273,66.66666666666666
llm,llama3-8b,prompt_only,USDIDR,5,17,257.02716976597804,80.0
llm,llama3-8b,prompt_only,USDIDR,5,18,272.6653497831355,100.0
llm,llama3-8b,prompt_only,USDIDR,5,19,45.855523922701536,50.0
llm,llama3-8b,prompt_only,USDIDR,5,20,46.512206181082334,66.66666666666666
llm,llama3-8b,prompt_only,USDIDR,5,21,106.86869079255375,100.0
llm,llama3-8b,prompt_only,USDIDR,5,22,78.82809092597498,0.0
llm,llama3-8b,prompt_only,USDIDR,5,23,146.9087415263764,33.33333333333333
llm,llama3-8b,prompt_only,USDIDR,5,24,182.5019917259824,40.0
llm,llama3-8b,prompt_only,USDIDR,5,25,67.57266758927153,66.66666666666666
llm,llama3-8b,prompt_only,USDIDR,5,26,92.7054638365935,25.0
llm,llama3-8b,prompt_only,USDIDR,5,27,113.88189141961455,33.33333333333333
llm,llama3-8b,prompt_only,USDIDR,5,28,38.753665943617236,66.66666666666666
llm,llama3-8b,prompt_only,USDIDR,5,29,134.97608260506658,25.0
llm,llama3-8b,full_model,USDIDR,5,0,282.4178843915785,33.33333333333333
llm,llama3-8b,full_model,USDIDR,5,1,388.6750168895357,50.0
llm,llama3-8b,full_model,USDIDR,5,2,490.00060443222264,66.66666666666666
llm,llama3-8b,full_model,USDIDR,5,3,170.94061547509165,60.0
llm,llama3-8b,full_model,USDIDR,5,4,467.6042932541254,33.33333333333333
llm,llama3-8b,full_model,USDIDR,5,5,86.94943005887494,0.0
llm,llama3-8b,full_model,USDIDR,5,6,139.4575310784862,33.33333333333333
llm,llama3-8b,full_model,USDIDR,5,7,107.96926821315311,66.66666666666666
llm,llama3-8b,full_model,USDIDR,5,8,106.20354180804947,50.0
llm,llama3-8b,full_model,USDIDR,5,9,160.81860198769715,66.66666666666666
llm,llama3-8b,full_model,USDIDR,5,10,219.11365737606874,60.0
llm,llama3-8b,full_model,USDIDR,5,11,198.76923117966558,33.33333333333333
llm,llama3-8b,full_model,USDIDR,5,12,154.72678971149418,50.0
llm,llama3-8b,full_model,USDIDR,5,13,101.10184252067194,66.66666666666666
llm,llama3-8b,full_model,USDIDR,5,14,130.81840916088836,33.33333333333333
llm,llama3-8b,full_model,USDIDR,5,15,335.5591891894228,75.0
llm,llama3-8b,full_model,USDIDR,5,16,255.50428863138714,33.33333333333333
llm,llama3-8b,full_model,USDIDR,5,17,245.55102585981132,100.0
llm,llama3-8b,full_model,USDIDR,5,18,167.66978521603306,100.0
llm,llama3-8b,full_model,USDIDR,5,19,42.94351174600051,75.0
llm,llama3-8b,full_model,USDIDR,5,20,46.04849504721264,66.66666666666666
llm,llama3-8b,full_model,USDIDR,5,21,106.5443721640289,33.33333333333333
llm,llama3-8b,full_model,USDIDR,5,22,78.53608741048541,25.0
llm,llama3-8b,full_model,USDIDR,5,23,77.71273642026591,33.33333333333333
llm,llama3-8b,full_model,USDIDR,5,24,167.44480073656206,40.0
llm,llama3-8b,full_model,USDIDR,5,25,42.30961869449527,100.0
llm,llama3-8b,full_model,USDIDR,5,26,96.14494163924577,50.0
llm,llama3-8b,full_model,USDIDR,5,27,90.68025053325277,33.33333333333333
llm,llama3-8b,full_model,USDIDR,5,28,46.92662603537979,66.66666666666666
llm,llama3-8b,full_model,USDIDR,5,29,83.99762096336029,25.0
llm,llama3-8b,baseline_llm,USDIDR,10,0,384.5614580946137,87.5
llm,llama3-8b,baseline_llm,USDIDR,10,1,450.65953452384974,42.857142857142854
llm,llama3-8b,baseline_llm,USDIDR,10,2,336.36774213035005,57.14285714285714
llm,llama3-8b,baseline_llm,USDIDR,10,3,204.05237318567956,57.14285714285714
llm,llama3-8b,baseline_llm,USDIDR,10,4,555.3158109414335,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,10,5,526.3032877867555,12.5
llm,llama3-8b,baseline_llm,USDIDR,10,6,149.76903086000925,33.33333333333333
llm,llama3-8b,baseline_llm,USDIDR,10,7,214.94669720696447,28.57142857142857
llm,llama3-8b,baseline_llm,USDIDR,10,8,210.0371828347746,85.71428571428571
llm,llama3-8b,baseline_llm,USDIDR,10,9,126.59955701017472,71.42857142857143
llm,llama3-8b,baseline_llm,USDIDR,10,10,261.83542519876204,62.5
llm,llama3-8b,baseline_llm,USDIDR,10,11,163.61506892531253,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,10,12,305.53708808672263,50.0
llm,llama3-8b,baseline_llm,USDIDR,10,13,139.41519933297263,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,10,14,264.3038760330055,25.0
llm,llama3-8b,baseline_llm,USDIDR,10,15,319.079313490746,42.857142857142854
llm,llama3-8b,baseline_llm,USDIDR,10,16,173.19747120572652,42.857142857142854
llm,llama3-8b,baseline_llm,USDIDR,10,17,134.1043497537265,50.0
llm,llama3-8b,baseline_llm,USDIDR,10,18,245.12189802150917,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,10,19,149.18112012350326,50.0
llm,llama3-8b,baseline_llm,USDIDR,10,20,92.75594771505547,66.66666666666666
llm,llama3-8b,baseline_llm,USDIDR,10,21,115.1891014374842,57.14285714285714
llm,llama3-8b,baseline_llm,USDIDR,10,22,136.6698294229453,50.0
llm,llama3-8b,baseline_llm,USDIDR,10,23,167.33458190270244,28.57142857142857
llm,llama3-8b,baseline_llm,USDIDR,10,24,119.39185970873126,50.0
llm,llama3-8b,baseline_llm,USDIDR,10,25,117.98274470194124,80.0
llm,llama3-8b,baseline_llm,USDIDR,10,26,153.14921263636967,62.5
llm,llama3-8b,baseline_llm,USDIDR,10,27,93.90871956983698,50.0
llm,llama3-8b,baseline_llm,USDIDR,10,28,97.40328532775169,62.5
llm,llama3-8b,baseline_llm,USDIDR,10,29,114.52249027295008,28.57142857142857
llm,llama3-8b,news_only,USDIDR,10,0,398.0914040114912,75.0
llm,llama3-8b,news_only,USDIDR,10,1,339.88030397632923,57.14285714285714
