currency,horizon,model,rmse,mae,mape,da,type,config,news,prompt,n_windows
USDAUD,1,arima,0.018193913226852963,0.013814804866294845,0.902679044733618,63.888888888888886,baseline,baseline,,,
USDAUD,1,lstm,0.10364065718379013,0.10226965533498905,6.718515166049293,55.55555555555556,baseline,baseline,,,
USDAUD,1,xgboost,0.03330876439219796,0.028911821842193604,1.8914178495684812,55.55555555555556,baseline,baseline,,,
USDAUD,1,itransformer,0.0717782644987197,0.0695967125892639,4.569659729887758,55.55555555555556,baseline,baseline,,,
USDAUD,5,arima,0.018193913226852963,0.013814804866294845,0.902679044733618,63.888888888888886,baseline,baseline,,,
USDAUD,5,lstm,0.09555093621246788,0.09391106366446195,6.16871941938424,55.55555555555556,baseline,baseline,,,
USDAUD,5,xgboost,0.03330876439219796,0.028911821842193604,1.8914178495684812,55.55555555555556,baseline,baseline,,,
USDAUD,5,itransformer,0.03011358908733767,0.023837282657623284,1.5562183167827128,58.333333333333336,baseline,baseline,,,
USDAUD,10,arima,0.018193913226852963,0.013814804866294845,0.902679044733618,63.888888888888886,baseline,baseline,,,
USDAUD,10,lstm,0.10799838328136523,0.10660543982141796,7.003882599435779,55.55555555555556,baseline,baseline,,,
USDAUD,10,xgboost,0.03330876439219796,0.028911821842193604,1.8914178495684812,55.55555555555556,baseline,baseline,,,
USDAUD,10,itransformer,0.055930002396879515,0.05079029083251954,3.3521594093966747,45.83333333333333,baseline,baseline,,,
USDIDR,1,llama3-8b,209.53632733588788,163.898526809896,0.9916660817900085,61.904761904761905,llm,baseline_llm,False,tsfl_zero,30.0
USDIDR,1,llama3-8b,196.15274873510134,167.2339160156252,1.0110721980706232,57.142857142857146,llm,news_only,True,tsfl_zero,30.0
USDIDR,1,llama3-8b,198.13526145168163,146.56538710286466,0.8838717275276705,57.142857142857146,llm,prompt_only,False,tsfl_few,30.0
USDIDR,1,llama3-8b,153.4156849612111,114.89958375651028,0.6943892140735275,61.904761904761905,llm,full_model,True,tsfl_few,30.0
USDIDR,5,llama3-8b,210.0152810865213,150.6431781002604,0.9147091241894245,50.16666666666666,llm,baseline_llm,False,tsfl_zero,30.0
USDIDR,5,llama3-8b,270.11021176737273,197.52461882942714,1.1991078677210854,54.66666666666666,llm,news_only,True,tsfl_zero,30.0
USDIDR,5,llama3-8b,192.52490472648861,142.97304515690112,0.8685063115749323,49.27777777777778,llm,prompt_only,False,tsfl_few,30.0
USDIDR,5,llama3-8b,206.86332850596594,138.7667174485678,0.8435270023802861,52.0,llm,full_model,True,tsfl_few,30.0
USDIDR,10,llama3-8b,250.440789765722,176.20034475553382,1.07151780006548,53.400793650793645,llm,baseline_llm,False,tsfl_zero,30.0
USDIDR,10,llama3-8b,259.38763641173665,186.7626534847005,1.1351416325007202,54.797619047619044,llm,news_only,True,tsfl_zero,30.0
USDIDR,10,llama3-8b,209.1193110540962,154.16870961946614,0.9367753709942237,53.845238095238095,llm,prompt_only,False,tsfl_few,30.0
USDIDR,10,llama3-8b,211.90455067227973,152.21635102766925,0.9243128903159108,58.242063492063494,llm,full_model,True,tsfl_few,30.0
USDEUR,1,llama3-8b,0.014963410762795388,0.01220380551020304,1.424994741214596,57.142857142857146,llm,baseline_llm,False,tsfl_zero,30.0
USDEUR,1,llama3-8b,0.017069987532708154,0.013688256093263629,1.5937971206161676,61.904761904761905,llm,news_only,True,tsfl_zero,30.0
USDEUR,1,llama3-8b,0.012295772349547705,0.008811970525781317,1.0270102133502963,61.904761904761905,llm,prompt_only,False,tsfl_few,30.0
USDEUR,1,llama3-8b,0.0072103561603850735,0.005797714188893632,0.6752242253533787,61.904761904761905,llm,full_model,True,tsfl_few,30.0
USDEUR,5,llama3-8b,0.013152817601783367,0.010525427782456085,1.2285440669748626,56.55555555555555,llm,baseline_llm,False,tsfl_zero,30.0
USDEUR,5,llama3-8b,0.01374779641317311,0.01105451604072253,1.2881953995799909,47.66666666666667,llm,news_only,True,tsfl_zero,30.0
USDEUR,5,llama3-8b,0.01058220605420422,0.008132785791079204,0.9492912041345192,53.11111111111111,llm,prompt_only,False,tsfl_few,30.0
USDEUR,5,llama3-8b,0.010697284174012979,0.008426906912565233,0.9837393390295965,56.00000000000001,llm,full_model,True,tsfl_few,30.0
USDEUR,10,llama3-8b,0.015106067975200277,0.012346484664142131,1.4394906424624363,53.71031746031747,llm,baseline_llm,False,tsfl_zero,30.0
USDEUR,10,llama3-8b,0.016090449943018482,0.012952102167705693,1.5102969565763251,56.547619047619044,llm,news_only,True,tsfl_zero,30.0
USDEUR,10,llama3-8b,0.012158178136046053,0.009612493567069374,1.1207244294332195,53.53174603174603,llm,prompt_only,False,tsfl_few,30.0
USDEUR,10,llama3-8b,0.013488747517032367,0.010470601420541605,1.220769786285795,52.42063492063492,llm,full_model,True,tsfl_few,30.0
USDSGD,1,llama3-8b,0.009995814119496401,0.008377604262828868,0.6510265717375759,42.857142857142854,llm,baseline_llm,False,tsfl_zero,30.0
USDSGD,1,llama3-8b,0.013041061231101825,0.011135808345476813,0.8673021464164203,61.904761904761905,llm,news_only,True,tsfl_zero,30.0
USDSGD,1,llama3-8b,0.009556756266293603,0.008010374321937594,0.6235437689557229,47.61904761904762,llm,prompt_only,False,tsfl_few,30.0
USDSGD,1,llama3-8b,0.009304006448901394,0.007552797232468948,0.5871389955963657,38.095238095238095,llm,full_model,True,tsfl_few,30.0
